study_name,time,island_name,colony_code,sample_number,organism_weight,sex,dorsal_ridge_length,dorsal_ridge_depth
,UTC,,,,gram,,mm,mm
PAL0001,2001-02-15T18:00:00Z,TOR,23,41.0,4000.0,M,41.7,17.3
PAL0001,2001-02-15T18:00:00Z,TOR,23,42.0,4650.0,M,40.9,18.3
PAL0001,2001-02-15T18:00:00Z,TOR,23,43.0,3900.0,F,38.2,17.3
PAL0001,2001-02-15T18:00:00Z,TOR,23,44.0,4250.0,F,38.5,17.1
PAL0001,2001-02-15T18:00:00Z,TOR,23,45.0,4300.0,F,38.0,16.7
PAL0102,2001-12-05T18:25:00Z,TOR,23,1001.0,4000.0,F,37.8,17.8
PAL0102,2001-12-05T18:25:00Z,TOR,23,1002.0,3600.0,F,36.2,19.3
PAL0102,2001-12-05T18:25:00Z,TOR,23,1003.0,3900.0,F,37.6,18.4
PAL0102,2001-12-05T18:25:00Z,TOR,23,1004.0,4900.0,M,38.0,20.6
PAL0102,2001-12-28T18:00:00Z,TOR,23,1005.0,4300.0,M,41.0,19.8
PAL0102,2001-12-28T18:00:00Z,TOR,23,1006.0,4100.0,F,35.7,20.1
PAL0102,2001-12-28T18:00:00Z,TOR,23,1007.0,5000.0,M,37.7,20.8
PAL0102,2001-12-28T18:00:00Z,TOR,23,1008.0,4650.0,M,40.4,20.2
PAL0102,2001-12-28T18:00:00Z,TOR,23,1009.0,4200.0,M,39.5,19.5
PAL0102,2002-01-07T11:00:00Z,TOR,23,1010.0,4300.0,F,36.8,19.9
PAL0102,2002-01-07T11:00:00Z,TOR,23,1011.0,4700.0,M,40.1,20.0
PAL0102,2002-01-07T11:00:00Z,TOR,23,1012.0,4300.0,M,38.1,18.1
PAL0102,2002-01-07T11:00:00Z,TOR,23,1013.0,4250.0,M,40.7,20.1
PAL0102,2002-01-07T11:00:00Z,TOR,23,1014.0,4700.0,M,37.5,19.2
PAL0102,2002-01-15T21:00:00Z,TOR,23,1015.0,4350.0,M,40.9,20.0
PAL0102,2002-01-15T21:00:00Z,TOR,23,1016.0,4650.0,M,42.3,19.6
PAL0102,2002-01-15T21:00:00Z,TOR,23,1017.0,3850.0,M,40.9,18.6
PAL0102,2002-01-15T21:00:00Z,TOR,23,1018.0,4600.0,F,35.9,19.2
PAL0102,2002-01-15T21:00:00Z,TOR,23,1019.0,3950.0,M,40.6,17.9
PAL0102,2002-01-21T18:30:00Z,TOR,23,1020.0,4050.0,F,36.8,17.5
PAL0102,2002-01-21T18:30:00Z,TOR,23,1021.0,4250.0,F,36.1,20.1
PAL0102,2002-01-21T18:30:00Z,TOR,23,1022.0,3550.0,F,34.3,17.0
PAL0102,2002-01-21T18:30:00Z,TOR,23,1023.0,4000.0,M,40.4,20.0
PAL0102,2002-01-21T18:30:00Z,TOR,23,1024.0,4000.0,F,37.9,19.9
PAL0102,2002-01-31T19:30:00Z,TOR,23,1025.0,4650.0,M,42.3,18.0
PAL0102,2002-01-31T19:30:00Z,TOR,23,1026.0,4450.0,M,39.7,18.7
