study_name,time,sample_number,source,prey_type,species_code,evidence_code,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight,notes
PAL1112,2012-01-08T00:00:00Z,11004,STOM,FISH,UNKN,FLESH,2,0.0,1,0,0,NaN
PAL1112,2012-01-19T00:00:00Z,11010,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL1112,2012-01-26T00:00:00Z,11011,STOM,FISH,UNKN,OTOS,1,0.0,1,0,0,NaN
PAL1112,2012-01-26T00:00:00Z,11013,STOM,FISH,UNKN,OTOS,1,0.0,1,0,0,NaN
PAL1112,2012-01-26T00:00:00Z,11014,STOM,FISH,UNKN,"FLESH, OTOS, BONES",2,0.0,1,0,0,NaN
PAL1213,2013-01-09T00:00:00Z,12006,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1213,2013-01-16T00:00:00Z,12013,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1213,2013-01-16T00:00:00Z,12015,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1213,2013-01-23T00:00:00Z,12019,STOM,FISH,UNKN,OTO,14,0.0,1,0,0,NaN
PAL1213,2013-01-28T00:00:00Z,12022,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1213,2013-01-28T00:00:00Z,12025,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1314,2014-01-16T00:00:00Z,13005,STOM,FISH,UNKN,OTO,7,0.0,1,0,0,NaN
PAL1314,2014-01-16T00:00:00Z,13008,STOM,FISH,UNKN,OTO,3,0.0,1,0,0,NaN
PAL1314,2014-01-22T00:00:00Z,13010,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1314,2014-01-22T00:00:00Z,13012,STOM,FISH,UNKN,OTO,7,0.0,1,0,0,NaN
PAL1314,2014-01-22T00:00:00Z,13013,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1314,2014-01-22T00:00:00Z,13014,STOM,FISH,UNKN,FLESH AND OTO,NaN,0.0,2,0,0,NaN
PAL1314,2014-02-01T00:00:00Z,13023,STOM,FISH,UNKN,OTO,4,0.0,1,0,0,NaN
PAL1415,2015-01-11T00:00:00Z,14008,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1415,2015-01-26T00:00:00Z,14017,STOM,FISH,UNKN,OTO,40,0.0,1,0,0,NaN
PAL1415,2015-02-03T00:00:00Z,14022,STOM,FISH,UNKN,OTO,10,0.0,1,0,0,NaN
PAL1415,2015-02-03T00:00:00Z,14024,STOM,FISH,UNKN,OTO,13,0.0,1,0,0,NaN
PAL1415,2015-02-03T00:00:00Z,14025,STOM,FISH,UNKN,OTO,3,0.0,1,0,0,NaN
PAL1516,2016-01-06T00:00:00Z,15001,STOM,FISH,UNKN,OTO + FLESH,1,0.0,1,0,0,NaN
PAL1516,2016-01-06T00:00:00Z,15004,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1516,2016-01-12T00:00:00Z,15007,STOM,FISH,UNKN,OTO + FLESH,1,0.0,2,0,0,NaN
PAL1516,2016-01-12T00:00:00Z,15009,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-12T00:00:00Z,15010,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-18T00:00:00Z,15011,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1516,2016-01-18T00:00:00Z,15012,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-18T00:00:00Z,15013,STOM,FISH,UNKN,OTO + FLESH,2,0.0,4,0,0,NaN
PAL1516,2016-01-18T00:00:00Z,15015,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-25T00:00:00Z,15016,STOM,FISH,UNKN,OTO + FLESH + SKULL,18,0.0,2,0,0,NaN
PAL1516,2016-01-25T00:00:00Z,15017,STOM,FISH,UNKN,OTO,3,0.0,1,0,0,NaN
PAL1516,2016-01-25T00:00:00Z,15018,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-25T00:00:00Z,15020,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1516,2016-01-25T00:00:00Z,NaN,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
PAL1617,2017-01-05T00:00:00Z,16001,STOM,FISH,UNKN,OTOS,3,0.0,1,0,0,NaN
PAL1617,2017-01-05T00:00:00Z,16004,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1617,2017-01-05T00:00:00Z,16005,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1617,2017-01-10T00:00:00Z,16009,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL1617,2017-01-10T00:00:00Z,16010,STOM,FISH,UNKN,FLESH,1,0.0,1,0,0,NaN
PAL1617,2017-01-15T00:00:00Z,16015,STOM,FISH,UNKN,FLESH,1,0.0,7,0,0,NaN
PAL1617,2017-01-22T00:00:00Z,16016,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1617,2017-01-22T00:00:00Z,16018,STOM,FISH,UNKN,"FLESH, OTOS",2,0.0,7,0,0,NaN
PAL1718,2018-01-03T00:00:00Z,17005,STOM,FISH,UNKN,FLESH (TRACE),1,0.0,1,0,0,NaN
PAL1718,2018-01-23T00:00:00Z,17017,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1718,2018-01-23T00:00:00Z,17020,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL1718,2018-01-29T00:00:00Z,17023,STOM,FISH,UNKN,"SPECIMEN, OTO",1,0.0,2,0,0,NaN
PAL1718,2018-01-29T00:00:00Z,17024,STOM,FISH,UNKN,FLESH (TRACE),1,0.0,1,0,0,NaN
PAL1718,2018-01-29T00:00:00Z,17025,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
